project	sample	experiment	run	read count as reported by SRA	reads aligned	proportion of reads reported by SRA aligned	paired-end	SRA misreported paired-end
SRP012682	SRS1036429	SRX1153394	SRR2185195	161836384	161835284	0.999993203012	1	0
SRP012682	SRS1036339	SRX1153214	SRR2167030	207298250	207296490	0.999991509817	1	0
SRP012682	SRS1036278	SRX1153005	SRR2166648	190986780	190985120	0.999991308299	1	0
SRP012682	SRS1030200	SRX1144175	SRR2157460	195048080	195046382	0.999991294454	1	0
SRP012682	SRS1036039	SRX1152236	SRR2165527	195128554	195126840	0.999991216047	1	0
SRP012682	SRS1037982	SRX1155879	SRR2170447	195116960	195115202	0.99999099002	1	0
SRP012682	SRS1036594	SRX1153708	SRR2167710	221280782	221278660	0.999990410374	1	0
SRP012682	SRS1035885	SRX1151492	SRR2164847	203517130	203515164	0.999990339879	1	0
SRP012682	SRS1035976	SRX1152045	SRR2165323	205286050	205284056	0.999990286724	1	0
SRP012682	SRS1035909	SRX1151699	SRR2164936	185618592	185616604	0.999989289866	1	0
SRP012682	SRS1035202	SRX1150415	SRR2184904	181280904	181278942	0.999989177018	1	0
SRP012682	SRS1035921	SRX1151752	SRR2165033	175142228	175140330	0.999989163093	1	0
SRP012682	SRS1037975	SRX1155861	SRR2170408	195619300	195617176	0.999989142176	1	0
SRP012682	SRS1036270	SRX1153028	SRR2166787	209153702	209151428	0.999989127613	1	0
SRP012682	SRS1036189	SRX1152624	SRR2166064	204402938	204400520	0.999988170424	1	0
SRP012682	SRS1036219	SRX1152765	SRR2166308	195373576	195371202	0.99998784892	1	0
SRP012682	SRS1036546	SRX1153589	SRR2167551	188051716	188049412	0.999987748051	1	0
SRP012682	SRS1030118	SRX1144040	SRR2157314	199095820	199093380	0.999987744595	1	0
SRP012682	SRS1036572	SRX1153642	SRR2167642	178485738	178483520	0.999987573237	1	0
SRP012682	SRS1036230	SRX1152858	SRR2166459	180691368	180689052	0.999987182564	1	0
SRP012682	SRS1036183	SRX1152590	SRR2166006	199720186	199717616	0.999987131997	1	0
SRP012682	SRS1037840	SRX1155673	SRR2170173	181544900	181542552	0.99998706656	1	0
