accession	number_samples	species	abstract	rse_gene	rse_exon	counts_gene	counts_exon	phenotype	genes	exons	files_info
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP000366">DRP000366</a>	1	human	genomic DNA and mRNA from Hela cells To analyzed transcriptional regulation in Hela cells, we performed RNASeq and ChIPSeq using monoclonal antibodies which react Ser2P or Ser5P of RNAP2 specifically. Our result revealed that the state of transcribing RNAP2 can be divided three categories. This implies how to control serial mRNA expression by RNAP2.	<a href="http://duffel.rail.bio/recount/DRP000366/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000366/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000366/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000366/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000366/DRP000366.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000366/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP000425">DRP000425</a>	4	human	Using next generation sequencer, we investigated the global transcriptional change against glucose deprivation in T24 bladder carcinoma cell line, which produced N-GlcNAc2-modifed proteins under glucose deprivation.	<a href="http://duffel.rail.bio/recount/DRP000425/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000425/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000425/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000425/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000425/DRP000425.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000425/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP000464">DRP000464</a>	8	human	Recent research hints at an underappreciated complexity in pre-miRNA processing and regulation. Global profiling of pre-miRNA and its potential to increase understanding of the pre-miRNA landscape is impeded by overlap with highly-expressed classes of other non-coding RNA. Here we present a dataset excluding these RNA before sequencing through locked nucleic acids (LNA), greatly increasing pre-miRNA sequence counts with no discernable effects on pre-miRNA or mature miRNA sequencing. Analysis of profiles generated in total, nuclear, and cytoplasmic cell fractions reveals pre-miRNAs are subject to a wide range of regulatory processes involving loci-specific 3’- and 5’-end variation entailing complex cleavage patterns with co-occurring polyuridylation. Additionally, examination of nuclear-enriched flanking sequences of pre-miRNA, particularly those derived from polycistronic miRNA transcripts, provides insight into miRNA and miRNA-offset (moRNA) production. Our findings point to particularly intricate regulation of the let-7 family, introduce novel and unify known forms of pre-miRNA regulation and processing, and shed new light on the byproducts of miRNA processing pathways. none provided	<a href="http://duffel.rail.bio/recount/DRP000464/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000464/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000464/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000464/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000464/DRP000464.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000464/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP000499">DRP000499</a>	21	human	NA	<a href="http://duffel.rail.bio/recount/DRP000499/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000499/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000499/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000499/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000499/DRP000499.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000499/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP000527">DRP000527</a>	4	human	To appreciate the biological/biochemical impact of these splicing mutations, we expressed the wild-type and the mutant (S34F) U2AF35 in HeLa cells and performed RNA sequencing.	<a href="http://duffel.rail.bio/recount/DRP000527/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000527/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000527/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000527/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000527/DRP000527.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000527/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP000622">DRP000622</a>	5	human	In order to identify the transcripts those are regulated by UPF1 in human cells, we have measured the decay rates and the steady-state abundances of whole transcriptome in UPF1-depleted HeLa cells using BRIC-seq and RNA-seq.	<a href="http://duffel.rail.bio/recount/DRP000622/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000622/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000622/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000622/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000622/DRP000622.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000622/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP000665">DRP000665</a>	7	human	Using next generation sequencer, we investigated the global transcriptional time course-change against glucose deprivation in T24 bladder carcinoma cell line cells, which produced N-GlcNAc2-modified protein under glucose deprivation.	<a href="http://duffel.rail.bio/recount/DRP000665/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000665/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000665/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000665/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000665/DRP000665.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000665/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP000929">DRP000929</a>	4	human	Human inactive X chromosome (Xi) forms a compact structure called the Barr body, which is enriched in repressive histone modifications such as trimethylation of histone H3 Lys9 (H3K9me3) and Lys27 (H3K27me3). These two histone marks are distributed in distinct domains, and XIST (X inactive specific transcript) preferentially colocalizes with H3K27me3 domains. Here, we show that Xi compaction requires HBiX1, a heterochromatin protein 1 (HP1)–binding protein, and SMCHD1 (structural maintenance of chromosomes hinge domain containing 1), both of which are enriched throughout the Xi chromosome. HBiX1 localization to H3K9me3 and XIST-associated H3K27me3 (XIST-H3K27me3) domains was mediated through interactions with HP1 and SMCHD1, respectively. Furthermore, HBiX1 was required for SMCHD1 localization to H3K9me3 domains. Depletion of HBiX1 or SMCHD1, but not Polycomb repressive complex 2 (PRC2), resulted in Xi decompaction, similarly to XIST depletion. Thus, the molecular network involving HBiX1 and SMCHD1 links the H3K9me3 and XIST-H3K27me3 domains to organize the compact Xi structure.	<a href="http://duffel.rail.bio/recount/DRP000929/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000929/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000929/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000929/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000929/DRP000929.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000929/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP000987">DRP000987</a>	122	human	To understand the mutual association of the transcriptomes between host humans and infecting malaria parasites, Plasmodium falciparum (Pf), in vivo, we conducted the RNA-Seq analysis of 116 Indonesian malaria patients. Using RNAs extracted from peripheral blood of the patients as the mixture of the human and Pf transcripts, we generated a total of 3 billion RNA-Seq tags. Analysis of these tags allowed us to identify genes and pathways which were associated with clinical symptoms both on human and parasite sides. Particularly, we observed characteristic expression changes in the human innate immune response pathway genes depending on severity of malaria. We also identified a group of transcription regulatory factors and signaling molecule genes which have positive or negative correlations between humans and Pfs. These genes may change their expression patterns to accommodate the respective organisms to mutually conflicting environments. Furthermore, it was possible to utilize the RNA-Seq data for genotyping of the parasites to identify possible drug resistant genetic variations. By bypassing technical difficulty in preparing samples in field, this approach should provide a practically useful mean to describe mutually interacting transcritpomes of humans and parasites, which should eventually explain diverse malaria symptoms.	<a href="http://duffel.rail.bio/recount/DRP000987/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000987/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000987/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000987/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP000987/DRP000987.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP000987/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP001048">DRP001048</a>	6	human	NA	<a href="http://duffel.rail.bio/recount/DRP001048/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001048/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001048/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001048/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP001048/DRP001048.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP001048/files_info.tsv">link</a>
