Service,Amazon Elastic Compute Cloud - Compute ($),Amazon Elastic MapReduce ($),Amazon Simple Storage Service ($),Amazon SimpleDB ($),Amazon Elastic Block Store ($),Amazon Elastic Load Balancing ($),Total cost ($)
Service Total,8924.9450480500,5642.3550000000,738.4175385400,76.2414902000,6.3251514600,5.4017584400,15393.6859866900
2015-06-27,202.2575907800,181.1700000000,21.9252561200,3.0686096900,0.7027281800,0.6001975000,409.7243822700
2015-06-26,1353.8354266600,873.5400000000,112.3258265200,11.6883569500,0.7025709700,0.6001970400,2352.6923781400
2015-06-25,1638.5082787800,1004.9400000000,99.7227853400,13.3867984300,0.7025522700,0.6001925900,2757.8606074100
2015-06-24,1445.4865809900,832.6350000000,136.5482261000,10.6791135700,0.7028185100,0.6001980300,2426.6519372000
2015-06-23,1494.0933688300,775.8450000000,139.5980918800,9.8076153700,0.7037629100,0.6001940200,2420.6480330100
2015-06-22,990.0834192100,646.1100000000,91.4555706700,9.6377186500,0.7028432200,0.6001955700,1738.5897473200
2015-06-21,680.7048650000,524.8350000000,52.8493271000,7.4010319500,0.7027294200,0.6001885400,1267.0931420100
2015-06-20,713.0717429000,542.6100000000,49.0615381100,6.7092298700,0.7025668900,0.6001998500,1312.7552776200
2015-06-19,406.9037749000,260.6700000000,34.9309167000,3.8630157200,0.7025790900,0.6001953000,707.6704817100
