min seqc samples	junctions	magic junctions	rmake junctions	subread junctions	exactly one of {magic, rmake, subread} junctions	exactly two of {magic, rmake, subread} junctions	all three of {magic, rmake, subread} junctions
1710	1	1	1	1	0	0	1
1709	2	2	2	2	0	0	2
1708	4	4	4	4	0	0	4
1707	9	9	9	9	0	0	9
1706	17	16	17	17	0	1	16
1705	33	31	32	32	0	1	31
1704	55	52	54	54	0	2	52
1703	103	100	102	101	0	3	99
1702	175	170	174	171	1	5	168
1701	270	263	269	265	1	8	260
1700	408	397	407	401	1	14	392
1699	624	607	623	616	1	21	601
1698	968	932	965	955	1	41	923
1697	1629	1570	1625	1607	3	67	1555
1696	2730	2630	2724	2698	4	112	2608
1695	4824	4643	4812	4772	9	203	4604
1694	8333	8030	8314	8250	13	343	7965
1693	14415	13907	14375	14262	24	584	13784
1692	27214	26316	27141	26919	43	1060	26071
1691	32043	30983	31959	31701	50	1248	30699
1690	35360	34225	35271	34988	54	1347	33912
1689	37926	36718	37830	37521	59	1444	36374
1688	40118	38850	40017	39690	62	1517	38487
1687	42019	40699	41913	41569	62	1590	40313
1686	43672	42305	43558	43208	66	1645	41905
1685	45148	43741	45029	44667	69	1695	43326
1684	46476	45036	46354	45986	72	1731	44614
1683	47695	46213	47570	47189	74	1785	45776
1682	48867	47351	48742	48353	74	1827	46906
1681	49975	48431	49847	49445	75	1863	47974
1680	51039	49465	50908	50490	75	1906	48992
1679	51958	50363	51822	51403	78	1929	49884
1678	52852	51226	52716	52288	78	1969	50738
1677	53701	52052	53560	53119	81	2006	51546
1676	54532	52858	54390	53941	81	2038	52344
1675	55314	53612	55170	54713	83	2074	53088
1674	56031	54307	55884	55423	84	2101	53776
1673	56739	54995	56591	56128	85	2120	54463
1672	57403	55636	57252	56786	86	2141	55102
1671	58063	56277	57910	57441	89	2161	55739
1670	58767	56967	58612	58142	90	2178	56425
1669	59387	57564	59230	58753	91	2207	57014
1668	59983	58138	59825	59344	93	2228	57586
1667	60565	58701	60406	59920	94	2252	58143
1666	61155	59269	60995	60501	95	2282	58702
1665	61694	59794	61534	61031	95	2305	59218
1664	62218	60299	62057	61547	96	2331	59715
1663	62711	60775	62550	62032	97	2354	60184
1662	63179	61232	63017	62495	97	2368	60637
1661	63669	61711	63507	62981	97	2383	61112
1660	64143	62172	63979	63450	98	2398	61569
1659	64630	62644	64466	63934	98	2416	62038
1658	65095	63092	64930	64393	98	2437	62481
