sample index	project	sample	experiment	run	junctions	annotated_junctions	junctions_geq_5	annotated_junctions_geq_5	overlaps	annotated_overlaps
0	SRP031496	SRS491824	SRX365450	SRR1013437	141	118	4	0	801	124
1	SRP022133	SRS418750	SRX275444	SRR846947	158261	120780	74427	71369	5586166	5465056
2	SRP000996	SRS406768	SRX259082	SRR1067487	172994	146713	98370	97081	3151602	3015909
3	SRP025982	SRS442947	SRX303617	SRR898150	207465	165439	108122	106406	3758119	3681679
4	SRP041736	SRS603429	SRX534712	SRR1275091	5	0	0	0	5	0
5	SRP028340	SRS362528	SRX329533	SRR946073	137755	116190	64056	63437	1689073	1656081
6	SRP031476	SRS491585	SRX365206	SRR1012921	99691	92358	30165	30059	558958	549243
7	SRP021193	SRS414528	SRX268716	SRR830973	216971	163111	119085	115503	8619845	8468054
8	SRP022054	SRS418143	SRX273725	SRR837844	47	0	2	0	65	0
9	SRP012461	SRS310700	SRX144069	SRR490230	438	422	27	27	949	925
10	SRP033566	SRS512239	SRX388351	SRR1044560	4	0	0	0	8	0
11	SRP019272	SRS401341	SRX249252	SRR772631	7	0	0	0	14	0
12	SRP042184	SRS618259	SRX550523	SRR1296011	197549	160776	119870	116619	6867972	6752330
13	SRP044668	SRS663228	SRX658069	SRR1521444	212333	164178	104423	102567	4011934	3928105
14	SRP003611	SRS115066	SRX027123	SRR066423	8159	7620	538	520	18342	17519
15	SRP021130	SRS413787	SRX266786	SRR828719	107	81	8	0	679	83
16	ERP004078	ERS359935	ERX329154	ERR356372	140102	117683	74809	74119	2157644	2109710
17	SRP011233	SRS297210	SRX125271	SRR427102	99282	88613	31712	31490	772259	756597
18	SRP044668	SRS663222	SRX658063	SRR1521438	203707	161718	104743	102721	3655914	3574606
19	SRP033135	SRS504293	SRX379835	SRR1033145	21812	20026	15037	14440	640863	626194
20	ERP001942	ERS185432	ERX162876	ERR188024	184944	140215	100657	98693	5219639	5115138
21	SRP019272	SRS401279	SRX249190	SRR772519	5	0	0	0	8	0
22	SRP000941	SRS410259	SRX263861	SRR1045590	164806	138794	74175	73372	2467132	2423632
23	SRP029592	SRS476883	SRX345503	SRR968070	146446	130866	64890	64460	2053125	2026668
24	SRP026387	SRS453962	SRX316661	SRR923928	150094	123420	89957	84415	4845483	4729912
25	SRP040472	SRS580322	SRX498606	SRR1201768	176382	133943	113011	106523	6353818	6200898
26	SRP010129	SRS284944	SRX114537	SRR396560	1	0	0	0	1	0
27	SRP033135	SRS504382	SRX379925	SRR1033235	3220	2858	1285	1237	240930	235550
