SRR1013437	GSM1242510
SRR846947	GSM1133672
SRR898150	GSM1158284
SRR1012921	GSM1244811
SRR830973	GSM1126620
SRR837844	GSM1133345
SRR490230	GSM920966
SRR1044560	GSM1281852
SRR772631	GSM1098353
SRR1296011	GSM1396585
SRR1521444	GSM1440502
SRR066423	GSM597204
SRR828719	GSM1124349
SRR427102	GSM884988
SRR1521438	GSM1440496
SRR1033145	GSM1269195
SRR772519	GSM1098291
SRR968070	GSM1224491
SRR923928	GSM1177216
SRR396560	GSM856878
SRR1033235	GSM1269285
SRR317065	GSM767855
SRR1294728	GSM1395635
SRR493017	GSM925614
SRR950078	GSM1206234
SRR527663	GSM977035
SRR396540	GSM856858
SRR572599	GSM1005575
SRR493963	GSM927322
SRR066451	GSM597207
SRR1033132	GSM1269182
SRR408115	GSM874645
SRR616069	GSM1033541
SRR851715	GSM1142687
SRR037217	GSM517441
SRR191584	GSM715694
SRR1282148	GSM1383680
SRR897409	GSM1157543
SRR901898	GSM1164650
SRR490966	GSM922151
SRR1294708	GSM1395615
SRR032244	GSM424326
SRR1036094	GSM1273632
SRR1015692	GSM1249131
SRR1531143	GSM1447489
SRR490453	GSM921022
SRR1032150	GSM1267817
SRR1051353	GSM1290723
SRR896793	GSM1156927
SRR1164839	GSM1323699
SRR1295213	GSM1396120
SRR519069	GSM957465
SRR1145038	GSM1314598
SRR1026883	GSM1260488
SRR897291	GSM1157425
SRR1036025	GSM1273620
SRR950388	GSM1206279
SRR1044671	GSM1282325
SRR191680	GSM715460
SRR998197	GSM1233909
SRR597888	GSM1023063
SRR903339	GSM1166130
SRR1004310	GSM1241376
SRR191504	GSM715614
SRR390524	GSM849358
SRR898241	GSM1158375
SRR1264323	GSM1375530
SRR1192055	GSM1348228
SRR031833	GSM485386
SRR897965	GSM1158099
SRR1264068	GSM1375519
SRR1294822	GSM1395729
SRR191452	GSM715562
SRR944029	GSM1196573
SRR1027005	GSM1260580
SRR490470	GSM921026
SRR903309	GSM1166125
SRR772516	GSM1098289
SRR315326	GSM765400
SRR1027595	GSM1261107
SRR566989	GSM1000981
SRR527670	GSM977038
SRR772352	GSM1098200
SRR315327	GSM765401
SRR898215	GSM1158349
SRR903187	GSM1166110
SRR490510	GSM921036
SRR886589	GSM1155378
SRR896888	GSM1157022
SRR031944	GSM485497
SRR1033127	GSM1269177
SRR903286	GSM1166122
SRR029124	GSM416753
SRR965794	GSM956286
SRR898034	GSM1158168
SRR1033268	GSM1269318
SRR048980	GSM545216
SRR191602	GSM715712
SRR903151	GSM1166105
SRR1313074	GSM1401660
SRR309284	GSM741172
SRR648418	GSM1063294
SRR398232	GSM860023
SRR522121	GSM967548
SRR433867	GSM885644
SRR363758	GSM830561
SRR343333	GSM796036
SRR1264069	GSM1375519
SRR944301	GSM1197343
SRR974974	GSM1227196
SRR944304	GSM1197346
SRR1146095	GSM1315634
SRR1509734	GSM1431874
SRR944083	GSM1196627
SRR1032147	GSM1267814
SRR837794	GSM1133247
SRR529096	GSM978498
SRR1032975	GSM1269025
SRR1146152	GSM1315690
SRR1294108	GSM1395302
SRR567137	GSM1000986
SRR898181	GSM1158315
SRR514144	GSM949839
SRR1264270	GSM1375528
SRR741904	GSM1084060
SRR965798	GSM956290
SRR1294972	GSM1395879
SRR976231	GSM1229109
SRR447175	GSM899454
SRR490244	GSM920970
SRR1258914	GSM1371579
SRR1294648	GSM1395555
SRR766071	GSM1089288
SRR038447	GSM484894
SRR1032984	GSM1269034
SRR094131	GSM651907
SRR897984	GSM1158118
SRR828726	GSM1124356
SRR787328	GSM1102650
SRR968072	GSM1224493
SRR567062	GSM1000983
SRR1023006	GSM1256455
SRR1032163	GSM1267836
SRR897973	GSM1158107
SRR965803	GSM956295
SRR897152	GSM1157286
SRR1026890	GSM1260492
SRR401822	GSM865298
SRR521515	GSM958743
SRR1294881	GSM1395788
SRR1044471	GSM1281763
SRR1531149	GSM1447495
SRR456936	GSM908346
SRR898354	GSM1158488
SRR942435	GSM1194153
SRR191702	GSM715485
SRR902987	GSM1166082
SRR1521407	GSM1440467
SRR547605	GSM992932
SRR897971	GSM1158105
SRR1047818	GSM1288370
SRR492052	GSM923434
SRR490581	GSM921054
SRR350242	GSM804343
SRR834979	GSM1129340
SRR772337	GSM1098187
SRR189777	GSM714637
SRR490586	GSM921055
SRR927174	GSM1181920
SRR563547	GSM999581
SRR944654	GSM1197613
SRR835011	GSM1129242
SRR1032924	GSM1268974
SRR1105571	GSM1303931
SRR898225	GSM1158359
SRR1106096	GSM1304789
SRR1264350	GSM1375531
SRR747670	GSM1084155
SRR954233	GSM1212188
SRR772575	GSM1098321
SRR1200712	GSM1354733
SRR1057530	GSM1296630
SRR1044535	GSM1281827
SRR1274533	GSM1381989
SRR898193	GSM1158327
SRR1044422	GSM1281714
SRR1044477	GSM1281769
SRR575146	GSM1006904
SRR1047813	GSM1288369
SRR944303	GSM1197345
SRR898136	GSM1158270
SRR896685	GSM1156819
SRR066429	GSM597204
SRR515905	GSM952040
SRR1146127	GSM1315665
SRR903287	GSM1166122
SRR1012314	GSM1243287
SRR867740	GSM1148896
SRR039617	GSM531980
SRR897896	GSM1158030
SRR448107	GSM900495
SRR932134	GSM1185127
SRR191401	GSM715511
SRR1026937	GSM1260523
SRR1033459	GSM1269465
SRR1020592	GSM1254457
SRR518955	GSM957201
SRR954989	GSM1213436
SRR944049	GSM1196593
SRR1017156	GSM1250459
SRR772377	GSM1098214
SRR804672	GSM1112873
SRR1182274	GSM1338337
SRR903201	GSM1166111
SRR1033128	GSM1269178
SRR846954	GSM1133679
SRR1164787	GSM1323647
SRR553573	GSM995301
SRR1282154	GSM1383683
SRR493940	GSM927309
SRR903046	GSM1166092
SRR307932	GSM758578
SRR278175	GSM741692
SRR040033	GSM532918
SRR903102	GSM1166099
SRR575148	GSM1006905
SRR1146123	GSM1315661
SRR893050	GSM1160116
SRR592576	GSM1019738
SRR191467	GSM715577
SRR048967	GSM545210
SRR1003768	GSM1241150
SRR070244	GSM602591
SRR032240	GSM424322
SRR527620	GSM973679
SRR1299453	GSM1399185
SRR1295049	GSM1395956
SRR517604	GSM953599
SRR897690	GSM1157824
SRR503578	GSM942211
SRR057526	GSM546926
SRR896701	GSM1156835
SRR388227	GSM693746
SRR396566	GSM856884
SRR1153279	GSM1319847
SRR1264171	GSM1375524
SRR1313127	GSM1401713
SRR1299461	GSM1399188
SRR1020594	GSM1254459
SRR1146198	GSM1315736
SRR1146080	GSM1315613
SRR897427	GSM1157561
SRR567439	GSM999531
SRR398208	GSM859991
SRR493944	GSM927311
SRR567131	GSM1000985
SRR191594	GSM715704
SRR066746	GSM593378
SRR1027180	GSM1261025
SRR1274576	GSM1382032
SRR490979	GSM922164
SRR492057	GSM923436
SRR572549	GSM1005575
SRR1295008	GSM1395915
SRR031948	GSM485501
SRR037169	GSM517435
SRR330864	GSM768948
SRR1060764	GSM1298110
SRR934349	GSM1185619
SRR786440	GSM1099814
SRR445727	GSM896812
SRR447139	GSM898968
SRR805748	GSM1113335
SRR1294867	GSM1395774
SRR1146147	GSM1315685
SRR563555	GSM999589
SRR903053	GSM1166093
SRR1294906	GSM1395813
SRR1286930	GSM1386282
SRR903157	GSM1166106
SRR035577	GSM480870
SRR1294730	GSM1395637
SRR1033058	GSM1269108
SRR897508	GSM1157642
SRR1264239	GSM1375527
SRR309267	GSM759890
SRR1026956	GSM1260541
SRR772390	GSM1098223
SRR037704	GSM501716
SRR330907	GSM768991
SRR1200707	GSM1354728
SRR537118	GSM984221
SRR837833	GSM1133334
SRR492035	GSM923425
SRR1204527	GSM1356579
SRR1168233	GSM1326409
SRR346065	GSM798058
SRR309265	GSM759888
SRR1294725	GSM1395632
SRR1293902	GSM1395234
SRR903260	GSM1166119
SRR1015687	GSM1249126
SRR522102	GSM967529
SRR897923	GSM1158057
SRR903027	GSM1166089
SRR998428	GSM1234140
SRR1377206	GSM1409703
SRR772654	GSM1098366
SRR1264123	GSM1375521
SRR1015689	GSM1249128
SRR897710	GSM1157844
SRR1033046	GSM1269096
SRR941575	GSM1192662
SRR948499	GSM1202469
SRR1012334	GSM1243307
SRR372639	GSM838091
SRR566228	GSM999657
SRR772701	GSM1098395
SRR896772	GSM1156906
SRR1177739	GSM1335740
SRR191598	GSM715708
SRR073739	GSM618479
SRR896721	GSM1156855
SRR1033021	GSM1269071
SRR521478	GSM958733
SRR493946	GSM927312
SRR1264324	GSM1375530
SRR772482	GSM1098272
SRR886613	GSM1155385
SRR088864	GSM643913
SRR1033269	GSM1269319
SRR949097	GSM1203323
SRR897175	GSM1157309
SRR398224	GSM860015
SRR1182248	GSM1338315
SRR1313122	GSM1401708
SRR031812	GSM485365
SRR517831	GSM955161
SRR897239	GSM1157373
SRR521508	GSM958740
SRR772348	GSM1098199
SRR073738	GSM618478
SRR897101	GSM1157235
SRR897835	GSM1157969
SRR534175	GSM958731
SRR1028933	GSM1262779
SRR998447	GSM1234159
SRR1060773	GSM1298119
SRR1295005	GSM1395912
SRR772358	GSM1098203
SRR1204520	GSM1356572
SRR500876	GSM937162
SRR490517	GSM921038
SRR567042	GSM1000982
SRR1223559	GSM1365950
SRR446303	GSM897070
SRR398231	GSM860022
SRR500121	GSM936076
SRR934754	GSM1185901
SRR1047854	GSM1288377
SRR834958	GSM1129319
SRR934287	GSM1185611
SRR1521412	GSM1440472
SRR897135	GSM1157269
SRR1032142	GSM1267810
SRR898172	GSM1158306
SRR490362	GSM920999
SRR1294120	GSM1395314
SRR976741	GSM1229367
SRR1216109	GSM1362087
SRR897143	GSM1157277
SRR1296030	GSM1396604
SRR1295286	GSM1396193
SRR490599	GSM921058
SRR1033226	GSM1269276
SRR998262	GSM1233974
SRR490985	GSM922170
SRR1521411	GSM1440471
SRR527594	GSM973666
SRR206973	GSM721696
SRR1032879	GSM1269350
SRR834949	GSM1129313
SRR521158	GSM960599
SRR315317	GSM765396
SRR998499	GSM1234211
SRR1024134	GSM1259119
SRR898240	GSM1158374
SRR424679	GSM883916
SRR399310	GSM862353
SRR897273	GSM1157407
SRR764808	GSM1087888
SRR390523	GSM849357
SRR1036052	GSM1273625
SRR931820	GSM1184597
SRR1294502	GSM1395409
SRR307920	GSM758571
SRR575156	GSM1006909
SRR091666	GSM652290
SRR1174334	GSM1331314
SRR1285998	GSM1385888
SRR903295	GSM1166123
SRR332244	GSM773078
SRR401815	GSM865291
SRR1003769	GSM1241151
SRR1003791	GSM1241173
SRR490303	GSM920984
SRR902964	GSM1166078
SRR896817	GSM1156951
SRR897630	GSM1157764
SRR1044431	GSM1281723
SRR897858	GSM1157992
SRR897096	GSM1157230
SRR897323	GSM1157457
SRR396807	GSM857472
SRR949095	GSM1203321
SRR903297	GSM1166123
SRR396568	GSM856886
SRR944670	GSM1197629
SRR897626	GSM1157760
SRR1033280	GSM1269330
SRR1026971	GSM1260553
SRR1294757	GSM1395664
SRR882007	GSM1154030
SRR903210	GSM1166113
SRR521516	GSM958744
SRR896942	GSM1157076
SRR943354	GSM1196058
SRR898404	GSM1158538
SRR1003779	GSM1241161
SRR567021	GSM1000982
SRR1377174	GSM1409694
SRR1294568	GSM1395475
SRR1238527	GSM1369216
