sample	submission date	publication date	last update	title	ids	attributes
DRS000577	2013-01-18T09:05:14.983	2013-01-07T00:00:00.000	2014-11-12T03:28:52.000	Hela_RNASeq	NA	sample_name:DRS000577;sample comment:Hela cells which were cultured in Dulbecco's modified Eagle's medium (DMEM) supplemented with 10% fetal bovine serum under a humidified atmosphere with 5% CO2 at 37??C.
DRS000730	2012-07-19T09:34:23.143	2012-06-30T00:00:00.000	2014-11-12T03:28:52.000	T24_25mM_I	NA	sample_name:DRS000730;sample comment:The total RNA were prepared from 24 bladder carcinoma cell line, cultured under DMEM containing 25 mM glucose.
DRS000731	2012-07-19T09:34:23.186	2012-06-30T00:00:00.000	2014-11-12T03:28:52.000	T24_25mM_II	NA	sample_name:DRS000731;sample comment:The total RNA were prepared from T24 bladder carcinoma cell line, cultured under DMEM containing 25 mM glucose.
DRS000732	2012-07-19T09:34:22.996	2012-06-30T00:00:00.000	2014-11-12T03:28:52.000	T24_0mM_24h_I	NA	sample_name:DRS000732;sample comment:The total RNA were prepared from T24 bladder carcinoma cell line, cultured for 24 h under DMEM without glucose (0 mM).
DRS000733	2012-07-19T09:34:23.233	2012-06-30T00:00:00.000	2014-11-12T03:28:52.000	T24_0mM_24h_II	NA	sample_name:DRS000733;sample comment:The total RNA were prepared from T24 bladder carcinoma cell line, cultured for 24 h under DMEM without glucose (0 mM).
DRS001018	2011-12-09T01:08:15.656	2011-11-28T00:00:00.000	2014-11-12T03:29:14.000	SRig10052	NA	sample_name:DRS001018;sample comment:Hela long total cell fraction, control
DRS001019	2011-12-09T01:08:15.580	2011-11-28T00:00:00.000	2014-11-12T03:29:14.000	SRig10053	NA	sample_name:DRS001019;sample comment:Hela long cytoplasmic cell fraction, control
DRS001020	2011-12-09T01:08:15.643	2011-11-28T00:00:00.000	2014-11-12T03:29:14.000	SRig10054	NA	sample_name:DRS001020;sample comment:Hela long nuclear cell fraction, control
DRS001021	2011-12-09T01:08:15.676	2011-11-28T00:00:00.000	2014-11-12T03:29:14.000	SRig10148	NA	sample_name:DRS001021;sample comment:Hela long total cell fraction, LNA(+)
DRS001022	2011-12-09T01:08:15.670	2011-11-28T00:00:00.000	2014-11-12T03:29:14.000	SRig10149	NA	sample_name:DRS001022;sample comment:Hela long cytoplasmic cell fraction, LNA(+)
DRS001023	2011-12-09T01:08:15.663	2011-11-28T00:00:00.000	2014-11-12T03:29:14.000	SRig10150	NA	sample_name:DRS001023;sample comment:Hela long nuclear cell fraction, LNA(+)
