run,release_date,mbytes,library_layout,platform,tissue,celltype,readlen,srx,id,study
SRR998524,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3476,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356804,6965,GSM1234236: SNYDER_RZ_2; Homo sapiens; RNA-Seq
SRR998523,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3341,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356803,7588,GSM1234235: SNYDER_RZ_1; Homo sapiens; RNA-Seq
SRR998501,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3692,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356781,6045,GSM1234213: GM2630_RZ_2; Homo sapiens; RNA-Seq
SRR998500,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3462,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356780,7025,GSM1234212: GM2630_RZ_1; Homo sapiens; RNA-Seq
SRR998483,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),2685,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356763,11519,GSM1234195: GM2610_RZ_2; Homo sapiens; RNA-Seq
SRR998482,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3542,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356762,6671,GSM1234194: GM2610_RZ_1; Homo sapiens; RNA-Seq
SRR998465,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3495,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356745,6888,GSM1234177: GM2588_RZ_2; Homo sapiens; RNA-Seq
SRR998464,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3583,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356744,6484,GSM1234176: GM2588_RZ_1; Homo sapiens; RNA-Seq
SRR998447,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),4430,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356727,4037,GSM1234159: GM2255_RZ_2; Homo sapiens; RNA-Seq
SRR998446,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3203,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356726,8283,GSM1234158: GM2255_RZ_1; Homo sapiens; RNA-Seq
SRR998429,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3467,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356709,7008,GSM1234141: GM19240_RZ_2; Homo sapiens; RNA-Seq
SRR998428,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3013,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356708,9353,GSM1234140: GM19240_RZ_1; Homo sapiens; RNA-Seq
SRR998406,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3345,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356686,7570,GSM1234118: GM19239_RZ_2; Homo sapiens; RNA-Seq
SRR998405,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3111,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356685,8770,GSM1234117: GM19239_RZ_1; Homo sapiens; RNA-Seq
SRR998384,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3151,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356664,8566,GSM1234096: GM19238_RZ_2; Homo sapiens; RNA-Seq
SRR998383,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3188,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356663,8377,GSM1234095: GM19238_RZ_1; Homo sapiens; RNA-Seq
SRR998363,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),2721,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356643,11280,GSM1234075: GM19193_RZ_2; Homo sapiens; RNA-Seq
SRR998362,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3354,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356642,7531,GSM1234074: GM19193_RZ_1; Homo sapiens; RNA-Seq
SRR998346,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3512,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356626,6801,GSM1234058: GM19099_RZ_2; Homo sapiens; RNA-Seq
SRR998345,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3236,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356625,8109,GSM1234057: GM19099_RZ_1; Homo sapiens; RNA-Seq
SRR998329,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),4042,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356609,4908,GSM1234041: GM18951_RZ_2; Homo sapiens; RNA-Seq
SRR998328,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3039,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356608,9184,GSM1234040: GM18951_RZ_1; Homo sapiens; RNA-Seq
SRR998312,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3690,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356592,6057,GSM1234024: GM18526_RZ_2; Homo sapiens; RNA-Seq
SRR998311,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),3284,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356591,7871,GSM1234023: GM18526_RZ_1; Homo sapiens; RNA-Seq
SRR998295,Mon Oct 21 2013 10:05:37 GMT-0400 (EDT),4548,Paired,ILLUMINA,blood,lymphoblastoid,202,SRX356575,3812,GSM1234007: GM18505_RZ_2; Homo sapiens; RNA-Seq
