PC1 PC2 PC3 PC4 PC5 brain lcl blood seqc_abrf geuvadis mixture
SRR1023791 0.011778628095924 0.00332225634022741 -0.0113363303883818 0.0111748802518451 1.56291426149601e-05 0 0 0 0 0 NA
SRR934350 0.0139373492910435 -0.0164516623679763 0.0254260827227289 0.0242600072923258 -0.00528505092396522 0 0 1 0 0 NA
SRR934351 0.0140167683224363 -0.0164307509512015 0.0243842887995434 0.0241526308899214 -0.00611605584557404 0 0 1 0 0 NA
SRR387407 0.00874779973398076 -0.00746393265291683 0.000642450677928262 -0.00656301692170636 0.00184011707712824 0 0 0 0 0 NA
SRR869313 -0.00401239236034196 -0.000816616421924587 -0.00158037783756757 -0.000866986932588929 -0.00264355070780859 0 0 0 0 0 NA
SRR346063 0.00136669427976277 -0.00136866421078038 -0.00780833158819726 0.00398296057148156 -0.00760046300908716 0 0 0 0 0 NA
SRR869312 -0.00289873345333725 -0.00126348554318139 -0.0031609938276339 -0.000561539589447585 -0.00398927042903839 0 0 0 0 0 NA
SRR317090 -0.00330808963291715 -0.00166423513884613 0.00250359289970004 -0.00712189929839501 0.0128511268260385 0 0 0 0 0 NA
SRR317091 -0.00362481275549193 -4.02743222386798e-05 0.00110471032544965 -0.00412510943335309 0.00885310720574912 0 0 0 0 0 NA
SRR317092 -0.00373064601582789 -0.0013261147868739 0.00189416026431844 -0.00602501538109781 0.0113720578686652 0 0 0 0 0 NA
SRR317093 -0.00397883819779062 -0.00139080524092335 0.0030320042784573 -0.00624664795185873 0.0106672497974335 0 0 0 0 0 NA
SRR317094 -0.00253886271024685 -0.00110610652014794 0.000180973478015184 -0.00606664079821016 0.00899818675186521 0 0 0 0 0 NA
SRR317095 -0.0042209999804281 -0.000113485870126441 0.00115851779627337 -0.00358809821052706 0.0088843335435921 0 0 0 0 0 NA
SRR317096 -0.00325981555515125 -0.00197608354406384 0.00251724969244825 -0.0078126223659641 0.0103330735103996 0 0 0 0 0 NA
SRR317097 -0.00256867381065284 -0.00139351725383495 0.00182658523044706 -0.00730747829317969 0.0114064425492435 0 0 0 0 0 NA
SRR317098 -0.0039490171526976 -0.000401705428909018 0.00197566763071064 -0.00510220477898339 0.00934007190669876 0 0 0 0 0 NA
SRR1377221 0.00259287100124812 0.0043930693082344 0.00217416295317749 -0.00480482413165911 0.00171291946426765 0 0 0 0 0 NA
SRR903090 -0.00424583203605012 0.00286844144050437 0.00121920497650526 -4.97212212413864e-05 -0.00675696856993016 1 0 0 2 0 1:0
SRR897992 0.0107668303758471 0.018320359629735 0.009519800633804 -0.00447224436063067 -0.00694373563328472 0 0 0 1 0 3:1
SRR831011 -0.00753930747970636 0.000769217752308682 0.00242169632658971 0.00174481039718387 0.000715683336374209 0 0 0 0 0 NA
SRR831010 -0.00754352677537351 0.000772565008551141 0.00242916840221867 0.001749049778364 0.000723856288523443 0 0 0 0 0 NA
SRR831013 -0.00756601944137426 0.000779745327350123 0.00247642151055964 0.00180200377275902 0.000755936387709067 0 0 0 0 0 NA
SRR831012 -0.00754040878676731 0.000770807807066366 0.00242330725500315 0.00174338663511582 0.000717568370927887 0 0 0 0 0 NA
SRR831015 -0.00756514710123807 0.000781697557163251 0.00247282511165418 0.00179260081292937 0.00075545358083924 0 0 0 0 0 NA
SRR831014 -0.00756175929909714 0.000780690709790381 0.00246250959765048 0.00179235518298111 0.000759245387065115 0 0 0 0 0 NA
SRR831017 -0.00756378453769221 0.000801617239368399 0.00250734290801272 0.00172466395694835 0.0010715491293577 0 0 0 0 0 NA
SRR831016 -0.00756011530732703 0.00077982100783353 0.00245904375087571 0.00179055364695322 0.00075712647805269 0 0 0 0 0 NA
SRR372657 -0.00753931487423115 0.000770839287523265 0.00242617491774777 0.00173788654743079 0.000710025465622614 0 0 0 0 0 NA
SRR372656 -0.007545966760948 0.000773244739683056 0.00244198940772238 0.0017517433542799 0.000716455549289542 0 0 0 0 0 NA
SRR372655 -0.00755955149032511 0.000775980898488174 0.00247581473857188 0.0017812690284266 0.000731279710184873 0 0 0 0 0 NA
SRR372654 -0.00754119344704896 0.000771067169535169 0.00243078592245614 0.00174281018928401 0.00071037203444078 0 0 0 0 0 NA
SRR372653 -0.00755166874275425 0.000772869634960952 0.00245585462856072 0.00176249699547601 0.00074716488137219 0 0 0 0 0 NA
SRR372652 -0.00754417819102629 0.000779452407435802 0.00246174607534125 0.00173139982955045 0.000723290759919119 0 0 0 0 0 NA
SRR372651 -0.00754459736709045 0.000748396469657996 0.0024693536182625 0.00175446273562722 0.000716793494598991 0 0 0 0 0 NA
SRR1192419 0.0117685755105317 0.00290407954039937 -0.00953860390451343 0.00839152240539577 0.00499925795944284 0 0 0 0 0 NA
SRR898402 0.0126116433992457 0.0116868580655372 -0.00203729272741454 0.0046555741829437 0.00605280119858087 0 0 0 1 0 1:3
SRR741884 -0.00753637565341156 0.000770268687955929 0.0024415652207488 0.0017614531510478 0.000710956616378754 0 0 0 0 0 NA
SRR1201722 -0.00210758638233168 6.73803893154585e-05 -0.00382144148383168 0.00411108349970383 0.00539155286327974 0 0 0 0 0 NA
SRR1201723 0.00281653056958294 0.000408278102782147 -0.00692728655235591 0.00743522158639873 0.0062293591298475 0 0 0 0 0 NA
SRR897832 0.0128794394271153 0.00687035812783667 -0.00714630828099661 0.00833224788788706 0.0135370296787694 0 0 0 1 0 0:1
SRR1201721 0.00535792956782893 0.000225445201727109 -0.0112874474115451 0.0112293870098085 0.00571121613993477 0 0 0 0 0 NA
SRR1201726 -0.000627668610814269 0.000908638788290548 -0.00591126561739415 0.00488892458189165 0.00703210967118292 0 0 0 0 0 NA
SRR1201727 0.00485057023345487 2.12875357613807e-05 -0.0106001891221877 0.00986463391854915 0.00572648369981217 0 0 0 0 0 NA
SRR1201724 0.00010013425915446 -0.000235736692247539 -0.00864248061460039 0.00654917899688957 0.00345976652165023 0 0 0 0 0 NA
