	3c	3d	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
3c	0,283029,0	1590,281439,2160	3077,279952,16086	3325,279704,22559	4485,278544,31346	13381,269648,45467	13535,269494,48875	13536,269493,52754	13568,269461,55972	13419,269610,61889	13542,269487,64235	15924,267105,65184	15790,267239,71370	15748,267281,76098	17858,265171,75870	18289,264740,76487	18340,264689,77139	18694,264335,78100	22183,260846,82299	22058,260971,83220	22019,261010,85172	22028,261001,85500	22040,260989,86558
3d	2160,281439,1590	0,283599,0	2631,280968,15070	2875,280724,21539	4045,279554,30336	13447,270152,44963	13549,270050,48319	13542,270057,52190	13536,270063,55370	13652,269947,61552	13752,269847,63875	16075,267524,64765	15868,267731,70878	15982,267617,75762	18020,265579,75462	18444,265155,76072	18487,265112,76716	18827,264772,77663	22117,261482,81663	22029,261570,82621	21958,261641,84541	21966,261633,84868	21983,261616,85931
4	16086,279952,3077	15070,280968,2631	0,296038,0	726,295312,6951	1964,294074,15816	13030,283008,32107	13086,282952,35417	13069,282969,39278	13065,282973,42460	13349,282689,48810	13449,282589,51133	15734,280304,51985	15490,280548,58061	15661,280377,63002	17804,278234,62807	18236,277802,63425	18301,277737,64091	18656,277382,65053	22002,274036,69109	21912,274126,70065	21820,274218,71964	21846,274192,72309	21853,274185,73362
5	22559,279704,3325	21539,280724,2875	6951,295312,726	0,302263,0	1377,300886,9004	12481,289782,25333	12546,289717,28652	12520,289743,32504	12517,289746,35687	12802,289461,42038	12904,289359,44363	15183,287080,45209	14940,287323,51286	15114,287149,56230	17387,284876,56165	17823,284440,56787	17894,284369,57459	18266,283997,58438	21627,280636,62509	21537,280726,63465	21446,280817,65365	21472,280791,65710	21477,280786,66761
6	31346,278544,4485	30336,279554,4045	15816,294074,1964	9004,300886,1377	0,309890,0	11224,298666,16449	11285,298605,19764	11286,298604,23643	11290,298600,26833	11592,298298,33201	11698,298192,35530	13971,295919,36370	13743,296147,42462	13930,295960,47419	16398,293492,47549	16892,292998,48229	16977,292913,48915	17357,292533,49902	20765,289125,54020	20692,289198,54993	20603,289287,56895	20633,289257,57244	20642,289248,58299
7	45467,269648,13381	44963,270152,13447	32107,283008,13030	25333,289782,12481	16449,298666,11224	0,315115,0	1362,313753,4616	1507,313608,8639	1671,313444,11989	2444,312671,18828	2635,312480,21242	8410,306705,25584	8293,306822,31787	8624,306491,36888	11524,303591,37450	12109,303006,38221	12232,302883,38945	12618,302497,39938	18498,296617,46528	18427,296688,47503	18254,296861,49321	18279,296836,49665	18286,296829,50718
8	48875,269494,13535	48319,270050,13549	35417,282952,13086	28652,289717,12546	19764,298605,11285	4616,313753,1362	0,318369,0	188,318181,4066	352,318017,7416	1155,317214,14285	1359,317010,16712	7156,311213,21076	7061,311308,27301	7413,310956,32423	10437,307932,33109	11051,307318,33909	11186,307183,34645	11590,306779,35656	17539,300830,42315	17491,300878,43313	17325,301044,45138	17348,301021,45480	17357,301012,46535
9	52754,269493,13536	52190,270057,13542	39278,282969,13069	32504,289743,12520	23643,298604,11286	8639,313608,1507	4066,318181,188	0,322247,0	193,322054,3379	1028,321219,10280	1227,321020,12702	7026,315221,17068	6931,315316,23293	7303,314944,28435	10404,311843,29198	11094,311153,30074	11232,311015,30813	11638,310609,31826	17604,304643,38502	17567,304680,39511	17382,304865,41317	17407,304840,41661	17416,304831,42716
10	55972,269461,13568	55370,270063,13536	42460,282973,13065	35687,289746,12517	26833,298600,11290	11989,313444,1671	7416,318017,352	3379,322054,193	0,325433,0	861,324572,6927	1069,324364,9358	6871,318562,13727	6787,318646,19963	7173,318260,25119	10293,315140,25901	11017,314416,26811	11166,314267,27561	11574,313859,28576	17648,307785,35360	17612,307821,36370	17426,308007,38175	17452,307981,38520	17461,307972,39575
11	61889,269610,13419	61552,269947,13652	48810,282689,13349	42038,289461,12802	33201,298298,11592	18828,312671,2444	14285,317214,1155	10280,321219,1028	6927,324572,861	0,331499,0	437,331062,2660	6284,325215,7074	6223,325276,13333	6657,324842,18537	9873,321626,19415	10664,320835,20392	10818,320681,21147	11233,320266,22169	17347,314152,28993	17312,314187,30004	17179,314320,31862	17206,314293,32208	17221,314278,33269
