min projects	junctions	annotated	exonskips	altstartend	novel	GTAG	annotated GTAG	GCAG	annotated GCAG	ATAC	annotated ATAC
1844	1	1	0	0	0	1	1	0	0	0	0
1843	1	1	0	0	0	1	1	0	0	0	0
1842	1	1	0	0	0	1	1	0	0	0	0
1841	1	1	0	0	0	1	1	0	0	0	0
1840	1	1	0	0	0	1	1	0	0	0	0
1839	1	1	0	0	0	1	1	0	0	0	0
1838	1	1	0	0	0	1	1	0	0	0	0
1837	1	1	0	0	0	1	1	0	0	0	0
1836	1	1	0	0	0	1	1	0	0	0	0
1835	1	1	0	0	0	1	1	0	0	0	0
1834	1	1	0	0	0	1	1	0	0	0	0
1833	1	1	0	0	0	1	1	0	0	0	0
1832	1	1	0	0	0	1	1	0	0	0	0
1831	1	1	0	0	0	1	1	0	0	0	0
1830	1	1	0	0	0	1	1	0	0	0	0
1829	1	1	0	0	0	1	1	0	0	0	0
1828	2	2	0	0	0	2	2	0	0	0	0
1827	2	2	0	0	0	2	2	0	0	0	0
1826	2	2	0	0	0	2	2	0	0	0	0
1825	2	2	0	0	0	2	2	0	0	0	0
1824	2	2	0	0	0	2	2	0	0	0	0
1823	3	3	0	0	0	3	3	0	0	0	0
1822	8	8	0	0	0	8	8	0	0	0	0
1821	8	8	0	0	0	8	8	0	0	0	0
1820	9	9	0	0	0	9	9	0	0	0	0
1819	10	9	0	1	0	10	9	0	0	0	0
1818	11	10	0	1	0	11	10	0	0	0	0
1817	13	12	0	1	0	13	12	0	0	0	0
1816	14	13	0	1	0	14	13	0	0	0	0
1815	14	13	0	1	0	14	13	0	0	0	0
1814	15	14	0	1	0	15	14	0	0	0	0
1813	15	14	0	1	0	15	14	0	0	0	0
1812	18	16	0	2	0	18	16	0	0	0	0
1811	19	17	0	2	0	19	17	0	0	0	0
1810	19	17	0	2	0	19	17	0	0	0	0
1809	19	17	0	2	0	19	17	0	0	0	0
1808	22	20	0	2	0	22	20	0	0	0	0
1807	24	22	0	2	0	24	22	0	0	0	0
1806	27	25	0	2	0	27	25	0	0	0	0
1805	28	26	0	2	0	28	26	0	0	0	0
1804	31	29	0	2	0	31	29	0	0	0	0
1803	35	33	0	2	0	35	33	0	0	0	0
1802	35	33	0	2	0	35	33	0	0	0	0
1801	38	36	0	2	0	38	36	0	0	0	0
1800	42	40	0	2	0	42	40	0	0	0	0
1799	49	47	0	2	0	49	47	0	0	0	0
1798	53	51	0	2	0	53	51	0	0	0	0
1797	61	59	0	2	0	61	59	0	0	0	0
1796	66	64	0	2	0	66	64	0	0	0	0
1795	68	66	0	2	0	68	66	0	0	0	0
1794	74	72	0	2	0	74	72	0	0	0	0
1793	84	82	0	2	0	84	82	0	0	0	0
1792	89	87	0	2	0	89	87	0	0	0	0
1791	95	93	0	2	0	95	93	0	0	0	0
1790	106	104	0	2	0	106	104	0	0	0	0
1789	110	108	0	2	0	110	108	0	0	0	0
1788	115	113	0	2	0	114	112	1	1	0	0
1787	121	119	0	2	0	120	118	1	1	0	0
1786	132	130	0	2	0	130	128	2	2	0	0
1785	141	139	0	2	0	139	137	2	2	0	0
1784	149	147	0	2	0	147	145	2	2	0	0
1783	159	157	0	2	0	156	154	3	3	0	0
1782	170	168	0	2	0	167	165	3	3	0	0
1781	186	184	0	2	0	183	181	3	3	0	0
1780	198	196	0	2	0	195	193	3	3	0	0
1779	208	206	0	2	0	205	203	3	3	0	0
1778	217	215	0	2	0	213	211	4	4	0	0
