min seqc samples	junctions	magic junctions	rmake junctions	subread junctions	exactly one of {magic, rmake, subread} junctions	exactly two of {magic, rmake, subread} junctions	all three of {magic, rmake, subread} junctions
1702	1	0	0	0	0	0	0
1701	2	0	0	0	0	0	0
1700	4	0	0	0	0	0	0
1699	10	0	0	0	0	0	0
1698	17	0	0	0	0	0	0
1697	33	0	0	0	0	0	0
1696	56	0	0	0	0	0	0
1695	103	0	0	0	0	0	0
1694	177	0	0	0	0	0	0
1693	269	0	0	0	0	0	0
1692	410	0	0	0	0	0	0
1691	632	0	0	0	0	0	0
1690	970	0	0	0	0	0	0
1689	1631	0	0	0	0	0	0
1688	2735	0	0	0	0	0	0
1687	4832	0	0	0	0	0	0
1686	8330	0	0	0	0	0	0
1685	14441	0	0	0	0	0	0
1684	27280	0	0	0	0	0	0
1683	32133	0	0	0	0	0	0
1682	35467	0	0	0	0	0	0
1681	38059	0	0	0	0	0	0
1680	40236	0	0	0	0	0	0
1679	42167	0	0	0	0	0	0
1678	43797	0	0	0	0	0	0
1677	45276	0	0	0	0	0	0
1676	46621	0	0	0	0	0	0
1675	47840	0	0	0	0	0	0
1674	49043	0	0	0	0	0	0
1673	50155	0	0	0	0	0	0
1672	51190	0	0	0	0	0	0
1671	52124	0	0	0	0	0	0
1670	53018	0	0	0	0	0	0
1669	53877	0	0	0	0	0	0
1668	54692	0	0	0	0	0	0
1667	55460	0	0	0	0	0	0
1666	56190	0	0	0	0	0	0
1665	56892	0	0	0	0	0	0
1664	57582	0	0	0	0	0	0
1663	58245	0	0	0	0	0	0
1662	58941	0	0	0	0	0	0
1661	59585	0	0	0	0	0	0
1660	60151	0	0	0	0	0	0
1659	60776	0	0	0	0	0	0
1658	61336	0	0	0	0	0	0
1657	61850	0	0	0	0	0	0
1656	62368	0	0	0	0	0	0
1655	62896	0	0	0	0	0	0
1654	63350	0	0	0	0	0	0
1653	63830	0	0	0	0	0	0
1652	64325	0	0	0	0	0	0
1651	64828	0	0	0	0	0	0
1650	65289	0	0	0	0	0	0
1649	65754	0	0	0	0	0	0
1648	66184	0	0	0	0	0	0
1647	66636	0	0	0	0	0	0
1646	67048	0	0	0	0	0	0
1645	67424	0	0	0	0	0	0
1644	67867	0	0	0	0	0	0
1643	68277	0	0	0	0	0	0
1642	68659	0	0	0	0	0	0
1641	69034	0	0	0	0	0	0
1640	69395	0	0	0	0	0	0
1639	69776	0	0	0	0	0	0
1638	70163	0	0	0	0	0	0
1637	70496	0	0	0	0	0	0
1636	70866	0	0	0	0	0	0
1635	71196	0	0	0	0	0	0
1634	71597	0	0	0	0	0	0
1633	71930	0	0	0	0	0	0
1632	72269	0	0	0	0	0	0
1631	72579	0	0	0	0	0	0
1630	72923	0	0	0	0	0	0
1629	73214	0	0	0	0	0	0
1628	73533	0	0	0	0	0	0
1627	73826	0	0	0	0	0	0
1626	74129	0	0	0	0	0	0
1625	74451	0	0	0	0	0	0
1624	74757	0	0	0	0	0	0
1623	75020	0	0	0	0	0	0
1622	75315	0	0	0	0	0	0
1621	75641	0	0	0	0	0	0
1620	75913	0	0	0	0	0	0
1619	76211	0	0	0	0	0	0
1618	76490	0	0	0	0	0	0
1617	76770	0	0	0	0	0	0
1616	77060	0	0	0	0	0	0
1615	77329	0	0	0	0	0	0
1614	77629	0	0	0	0	0	0
1613	77872	0	0	0	0	0	0
1612	78157	0	0	0	0	0	0
1611	78428	0	0	0	0	0	0
1610	78678	0	0	0	0	0	0
1609	78933	0	0	0	0	0	0
1608	79211	0	0	0	0	0	0
1607	79462	0	0	0	0	0	0
1606	79688	0	0	0	0	0	0
1605	79915	0	0	0	0	0	0
1604	80166	0	0	0	0	0	0
1603	80411	0	0	0	0	0	0
1602	80647	0	0	0	0	0	0
1601	80891	0	0	0	0	0	0
1600	81117	0	0	0	0	0	0
1599	81346	0	0	0	0	0	0
1598	81566	0	0	0	0	0	0
1597	81794	0	0	0	0	0	0
1596	82007	0	0	0	0	0	0
1595	82233	0	0	0	0	0	0
1594	82449	0	0	0	0	0	0
1593	82676	0	0	0	0	0	0
1592	82888	0	0	0	0	0	0
1591	83092	0	0	0	0	0	0
1590	83311	0	0	0	0	0	0
1589	83540	0	0	0	0	0	0
1588	83742	0	0	0	0	0	0
1587	83937	0	0	0	0	0	0
1586	84139	0	0	0	0	0	0
1585	84337	0	0	0	0	0	0
1584	84550	0	0	0	0	0	0
1583	84742	0	0	0	0	0	0
1582	84953	0	0	0	0	0	0
1581	85169	0	0	0	0	0	0
1580	85352	0	0	0	0	0	0
1579	85522	0	0	0	0	0	0
1578	85718	0	0	0	0	0	0
1577	85911	0	0	0	0	0	0
1576	86088	0	0	0	0	0	0
1575	86273	0	0	0	0	0	0
1574	86487	0	0	0	0	0	0
1573	86698	0	0	0	0	0	0
1572	86896	0	0	0	0	0	0
1571	87060	0	0	0	0	0	0
1570	87252	0	0	0	0	0	0
1569	87435	0	0	0	0	0	0
1568	87617	0	0	0	0	0	0
1567	87807	0	0	0	0	0	0
1566	87974	0	0	0	0	0	0
1565	88169	0	0	0	0	0	0
1564	88370	0	0	0	0	0	0
1563	88544	0	0	0	0	0	0
1562	88737	0	0	0	0	0	0
1561	88920	0	0	0	0	0	0
1560	89095	0	0	0	0	0	0
1559	89258	0	0	0	0	0	0
1558	89426	0	0	0	0	0	0
1557	89605	0	0	0	0	0	0
1556	89769	0	0	0	0	0	0
1555	89932	0	0	0	0	0	0
1554	90103	0	0	0	0	0	0
1553	90265	0	0	0	0	0	0
1552	90428	0	0	0	0	0	0
1551	90599	0	0	0	0	0	0
1550	90782	0	0	0	0	0	0
1549	90967	0	0	0	0	0	0
1548	91152	0	0	0	0	0	0
