sample index	project	sample	experiment	run	junctions	annotated_junctions	junctions_geq_5	annotated_junctions_geq_5	overlaps	annotated_overlaps
0	SRP007461	SRS358732	SRX179444	SRR545720	321577	183910	175619	152419	42475433	41913550
1	SRP043081	SRS639793	SRX765626	SRR1659951	359095	206227	169843	152851	47837657	47285677
2	SRP059950	SRS973948	SRX1075712	SRR2081134	360145	202569	163873	149215	30686540	30184447
3	SRP067661	SRS1217875	SRX1495153	SRR3039609	0	0	0	0	0	0
4	SRP057721	SRS923847	SRX1012020	SRR2000010	201236	164793	144176	135908	29367659	29156452
5	SRP048993	SRS736124	SRX750377	SRR1639273	356294	218891	179026	164502	44325131	43865135
6	SRP018848	SRS398123	SRX245557	SRR764960	328813	213236	177997	163199	32956367	32582318
7	SRP029899	SRS479557	SRX348813	SRR976765	202679	142863	101554	94986	21722884	21450057
8	SRP045638	SRS686993	SRX683823	SRR1554565	344799	233343	181650	171637	31031772	30730939
9	SRP050146	SRS750202	SRX765925	SRR1660310	200002	155385	165214	140671	19983611	19586203
10	ERP001344	ERS092686	ERX286310	ERR313162	214829	158413	97076	94530	6661656	6532295
11	SRP007461	SRS242506	SRX085295	SRR317044	200337	153497	116114	110406	8085508	7942150
12	SRP040472	SRS580302	SRX498566	SRR1201725	282831	177316	138659	132403	15471550	15217524
13	SRP055180	SRS850966	SRX884908	SRR1812372	157532	120624	100513	94490	7912552	7759517
14	SRP060650	SRS987164	SRX1091563	SRR2096446	300854	182789	141908	136133	16004493	15758380
15	SRP045638	SRS686994	SRX683824	SRR2071377	351997	219947	167763	159428	21336185	21049592
16	SRP051844	SRS812761	SRX834770	SRR1747182	181975	148172	122215	113446	11954832	11802902
17	SRP007461	SRS242516	SRX085305	SRR317065	159424	132091	96310	92920	7359388	7266772
18	SRP009316	SRS281387	SRX110047	SRR387427	183098	118579	73812	68610	12893831	12629218
19	SRP053004	SRS832941	SRX861657	SRR1782599	154263	97496	119682	85637	15850209	14452169
20	SRP050954	SRS782991	SRX800023	SRR1697327	260019	181771	138656	134008	25727359	25513118
21	SRP066895	SRS1186108	SRX1458633	SRR2969252	240444	170243	119932	117488	8535548	8405841
22	SRP056295	SRS876121	SRX959034	SRR1918672	294386	181096	142569	132573	18627548	18325554
23	SRP023538	SRS431808	SRX290654	SRR873420	317826	199995	150799	143444	15918572	15653612
24	SRP055180	SRS850966	SRX884902	SRR1812363	149698	119268	96512	91612	6811433	6690923
25	SRP045905	SRS692682	SRX690162	SRR1561876	157644	128677	102605	97574	7701143	7599809
26	SRP056295	SRS876109	SRX959049	SRR1918702	286438	186206	142333	133959	19812208	19539881
27	SRP056295	SRS876184	SRX958974	SRR1918551	298985	179242	136557	124621	13005307	12664604
28	SRP029589	SRS476847	SRX345308	SRR970578	37877	27218	12407	10279	237910	185706
29	SRP003754	SRS351988	SRX171080	SRR527603	841	95	49	24	1624	314
30	SRP028528	SRS467260	SRX331721	SRR948108	122317	114348	84718	84115	8735074	8700237
31	SRP050596	SRS779967	SRX796615	SRR1693845	265768	188919	139705	135636	18835585	18650941
32	SRP056295	SRS876116	SRX959039	SRR1918682	299222	191094	144839	135266	15250608	14938455
33	SRP042623	SRS624468	SRX559926	SRR1313295	218308	156179	102991	100319	6807087	6676540
34	SRP015419	SRS628001	SRX573044	SRR1342239	196463	145513	106792	102246	10363726	10214241
35	SRP056295	SRS876296	SRX958861	SRR1918326	295067	187092	137692	129489	15002735	14726962
36	SRP041738	SRS603570	SRX534858	SRR1273707	251566	183244	134388	131496	13297548	13160320
37	ERP010372	ERS738105	ERX974152	ERR894749	212680	164195	115844	113695	9407152	9296947
38	SRP056612	SRS885873	SRX970749	SRR1942963	276423	184356	137130	131062	16878086	16665967
39	SRP045870	SRS691777	SRX689282	SRR1560927	151057	121105	105725	98130	8627411	8499176
40	SRP040472	SRS580340	SRX498675	SRR1201863	120383	99465	98755	90263	5155633	5037570
41	SRP052740	SRS824636	SRX849834	SRR1768944	268262	192926	140049	135221	19772644	19580267
42	SRP056612	SRS885872	SRX970748	SRR1942960	266342	184692	137659	132980	16601594	16420455
43	SRP040998	SRS589624	SRX512253	SRR1220184	199984	168264	118682	115599	14677054	14578880
44	ERP010889	ERS782254	ERX1029147	ERR950162	88581	67360	45213	42057	911685	848781
45	SRP042620	SRS624351	SRX559806	SRR1313155	210023	156162	91997	89858	4886371	4786756
46	SRP018008	SRS212077	SRX218080	SRR650140	136382	105927	68778	66300	4037630	3959769
47	SRP047194	SRS702067	SRX702203	SRR1576503	267029	204418	150404	147613	10573411	10449202
48	ERP006650	ERS526276	ERX537313	ERR579153	245084	191141	137769	135196	15740158	15617568
49	ERP000546	ERS025085	ERX011200	ERR030882	187117	155844	102206	100005	4822758	4748466
50	SRP052983	SRS832279	SRX860706	SRR1781545	253545	178077	119651	116684	11120261	10987297
51	SRP040647	SRS583028	SRX502053	SRR1207407	217434	167995	123003	120690	14611570	14493799
52	SRP056835	SRS892662	SRX977624	SRR1951541	141453	112188	57135	55242	1380721	1318163
53	SRP047126	SRS701017	SRX700902	SRR1575105	217849	165479	119192	115481	8738802	8593584
54	SRP015419	SRS628003	SRX573046	SRR1342241	196445	145198	101834	98076	8592755	8452553
55	SRP026042	SRS445151	SRX306095	SRR901178	224123	177303	121023	119280	8680952	8579644
56	SRP051182	SRS791932	SRX810736	SRR1714496	175303	142062	95076	93105	7005572	6924193
57	ERP009437	ERS653529	ERX696509	ERR752827	239141	181713	126149	123246	12282111	12122892
58	SRP045441	SRS679551	SRX675944	SRR1544494	224265	166005	132846	125768	14947193	14767036
59	ERP009437	ERS653494	ERX696405	ERR752723	219697	173626	116468	114452	10074088	9945410
60	ERP002045	ERS197530	ERX182652	ERR266335	268524	186845	130420	127575	12559522	12406933
61	ERP001942	ERS185037	ERX162855	ERR188268	205790	157373	109308	107345	11555601	11431190
62	SRP042620	SRS624299	SRX559756	SRR1313105	238859	153887	89806	86861	5390380	5246533
63	SRP063948	SRS1078123	SRX1270223	SRR2473066	272443	190737	136658	133201	12865778	12704452
64	SRP029880	SRS478680	SRX347903	SRR975567	275456	202084	142416	139649	11929688	11770972
65	SRP057251	SRS911498	SRX997404	SRR1976434	175284	148159	97906	97024	6441130	6387084
66	SRP041100	SRS591084	SRX515073	SRR1232249	166807	132790	87683	86277	3951799	3873318
67	SRP063477	SRS1060366	SRX1207725	SRR2305491	222319	174354	117074	115098	6970617	6866671
68	SRP068318	SRS1245403	SRX1527589	SRR3097379	226091	173340	122564	120503	12291020	12176261
69	SRP049391	SRS733646	SRX747072	SRR1634772	165633	132256	89238	87787	5747232	5675743
70	ERP010142	ERS701684	ERX943356	ERR863712	230894	176488	121006	117950	9341433	9204948
71	ERP009768	ERS679733	ERX779551	ERR789388	192861	122884	81818	75011	10006695	9778373
72	SRP033078	SRS502911	SRX378116	SRR1030499	216363	166305	104998	103864	12976755	12901390
73	ERP000546	ERS025098	ERX011215	ERR030888	165625	145349	108949	106713	7062454	6995857
74	SRP047194	SRS702071	SRX702207	SRR1576507	271895	206261	144456	142326	8343575	8231582
75	SRP062966	SRS1048103	SRX1168318	SRR2443193	184145	145559	95514	93376	6301838	6200633
76	SRP065451	SRS1139491	SRX1395019	SRR2850569	248415	186148	132713	130506	8593855	8483415
77	SRP048759	SRS718888	SRX729562	SRR1608533	252580	162456	119541	111616	9584342	9334583
78	ERP001942	ERS185030	ERX162755	ERR188384	212255	159400	111106	109268	9975864	9858909
79	SRP042620	SRS624418	SRX559874	SRR1313223	192252	159945	101164	100300	5419016	5358194
80	SRP031620	SRS492043	SRX365676	SRR1027588	168969	124586	80680	78874	3605519	3525345
81	SRP048759	SRS718881	SRX729555	SRR1608503	254597	166017	121455	114196	7248102	7030790
82	SRP049097	SRS724934	SRX737025	SRR1617430	226515	83266	16862	15005	466640	274217
