project	sample	experiment	run	read count as reported by SRA	reads aligned	proportion of reads reported by SRA aligned	paired-end	SRA misreported paired-end
SRP017305	SRS592131	SRX517305	SRR1238550	322495852	322495851	0.999999996899	1	0
SRP058667	SRS944809	SRX1037594	SRR2039199	103513502	103513501	0.999999990339	1	0
SRP058667	SRS944808	SRX1037595	SRR2039200	100946694	100946693	0.999999990094	1	0
SRP053052	SRS834193	SRX863257	SRR1784316	468542346	468542325	0.99999995518	1	0
SRP015761	SRS363197	SRX187117	SRR570309	386664660	386664639	0.999999945689	1	0
SRP015761	SRS363196	SRX187116	SRR570308	285096588	285096567	0.999999926341	1	0
ERP006216	ERS533686	ERX703972	ERR759342	55647844	55647834	0.999999820299	1	0
ERP006215	ERS529334	ERX675396	ERR731450	70954384	70954366	0.999999746316	1	0
ERP006533	ERS515478	ERX530477	ERR571491	44543170	44543158	0.999999730598	1	0
SRP062773	SRS1044099	SRX1162900	SRR2180201	186303312	186303246	0.999999645739	1	0
SRP062773	SRS1044101	SRX1162901	SRR2180202	175833250	175833182	0.99999961327	1	0
ERP006216	ERS497085	ERX642475	ERR698036	49103776	49103752	0.999999511239	1	0
SRP062773	SRS1044100	SRX1162899	SRR2180200	168454156	168453192	0.999994277375	1	0
SRP062773	SRS1044102	SRX1162898	SRR2180199	177774294	177773204	0.99999386863	1	0
SRP062773	SRS1044103	SRX1162897	SRR2180198	146923956	146922622	0.999990920473	1	0
SRP062773	SRS1044104	SRX1162896	SRR2180197	205208562	205206558	0.999990234326	1	0
SRP062773	SRS1044108	SRX1162892	SRR2180193	183050750	183048434	0.999987347771	1	0
SRP062773	SRS1044107	SRX1162893	SRR2180194	169853254	169850968	0.999986541323	1	0
SRP062773	SRS1044097	SRX1162903	SRR2180204	192838320	192835718	0.999986506831	1	0
SRP045569	SRS685957	SRX682454	SRR1552929	127738582	127736846	0.999986409744	1	0
SRP045569	SRS685949	SRX682446	SRR1552921	81426422	81425291	0.99998611016	1	0
SRP062773	SRS1044098	SRX1162902	SRR2180203	142048516	142046500	0.999985807666	1	0
SRP045569	SRS685950	SRX682447	SRR1552922	136593388	136591447	0.999985789942	1	0
SRP045569	SRS685947	SRX682444	SRR1552919	123411050	123409293	0.999985763025	1	0
SRP045569	SRS685946	SRX682443	SRR1552918	94324288	94322886	0.999985136384	1	0
SRP045569	SRS685958	SRX682455	SRR1552930	85954710	85953421	0.99998500373	1	0
SRP045569	SRS685961	SRX682458	SRR1552933	119841864	119840016	0.999984579679	1	0
SRP045569	SRS685956	SRX682453	SRR1552928	75182880	75181696	0.999984251734	1	0
SRP045569	SRS685948	SRX682445	SRR1552920	81235780	81234394	0.999982938552	1	0
SRP045569	SRS685952	SRX682449	SRR1552924	102424152	102422391	0.99998280679	1	0
SRP028528	SRS467259	SRX331720	SRR948107	246063296	246059023	0.999982634549	1	0
SRP045569	SRS685954	SRX682451	SRR1552926	84341012	84339532	0.999982452191	1	0
SRP045569	SRS685963	SRX682460	SRR1552935	132283806	132281481	0.999982424153	1	0
SRP045569	SRS685959	SRX682456	SRR1552931	90379578	90377925	0.99998171047	1	0
SRP045569	SRS685960	SRX682457	SRR1552932	81163754	81162261	0.999981605089	1	0
SRP045569	SRS685951	SRX682448	SRR1552923	67468680	67467364	0.999980494653	1	0
SRP045569	SRS685964	SRX682461	SRR1552936	75641634	75640148	0.999980354734	1	0
SRP045569	SRS685953	SRX682450	SRR1552925	76773826	76772255	0.999979537297	1	0
SRP045569	SRS685967	SRX682464	SRR1552939	96631628	96629611	0.999979126917	1	0
SRP045569	SRS685962	SRX682459	SRR1552934	50326256	50325187	0.999978758603	1	0
SRP045569	SRS685955	SRX682452	SRR1552927	117585184	117582582	0.999977871362	1	0
SRP045569	SRS685965	SRX682462	SRR1552937	84448864	84446991	0.999977820898	1	0
SRP045569	SRS685966	SRX682463	SRR1552938	85220656	85218762	0.999977775341	1	0
ERP007111	ERS754028	ERX993449	ERR914325	45236232	45234934	0.999971306187	1	0
