GDC_UUID	CGC_path	sample_type	disease
420503AA-3799-4816-BEEC-0B4D05988D38	/Datasets/tcga/TCGA-BLCA/b7439edc-b7ab-407e-810a-c60864a915bf/analysis/1bde89af-ca5e-4b4a-aaa9-381ea05dbdcc/data/UNCID_2257998.d68e2da7-7bd4-4510-8751-02e9f16ad4e6.130702_UNC9-SN296_0380_BC24VKACXX_8_ATCACG.tar.gz	Primary Tumor	Bladder Urothelial Carcinoma
AC408085-7A00-405A-BBAE-D85E418EA768	/Datasets/tcga/TCGA-KIRC/89ea18fc-45ec-4e5c-969a-db2112dceefd/analysis/0e85b36d-e739-4230-aab4-4d54230a6f6b/data/UNCID_2209544.4a57e198-40cf-4de1-adf6-a95d64cc54e7.110517_UNC14-SN744_0117_BC036RABXX_2.tar.gz	Primary Tumor	Kidney Renal Clear Cell Carcinoma
2E57FB72-9983-453B-9B0A-90A6353CE7AC	/Datasets/tcga/TCGA-LUAD/86faf16c-56fd-4b7b-a6b2-b4c83bec93e1/analysis/a969f8e8-1ca4-4aa5-8d48-d4e6f04f9a7e/data/UNCID_2197688.3bc1fe5d-5eff-46f2-adf6-e6bc8b7e8f90.120113_UNC14-SN744_0200_AC0F4CACXX_1_TAGCTT.tar.gz	Primary Tumor	Lung Adenocarcinoma
3E4541B9-BD90-4B49-8973-B1516CBD8DE1	/Datasets/tcga/TCGA-READ/5d4b9087-fa7b-47b8-9b12-adc0dd1cf17c/analysis/5db93fd3-12c8-48e3-ba4d-1e9746e0e240/data/UNCID_2185612.de496c8a-d9ad-4339-98e6-b224026384b2.121211_UNC16-SN851_0199_BD1KLUACXX_1_CAGATC.tar.gz	Primary Tumor	Rectum Adenocarcinoma
51708DA2-649D-4817-BB26-7FD153C65965	/Datasets/tcga/TCGA-LGG/5eef573e-6a44-4dc7-8aa7-b136863ce910/analysis/1b05ca61-002e-4f51-ae64-daa63e35d6a5/data/UNCID_2364689.5db0c888-986f-4a3e-af64-c15ad413e14d.140128_UNC15-SN850_0350_BC39J2ACXX_1_ACAGTG.tar.gz	Primary Tumor	Brain Lower Grade Glioma
A20DA421-D761-4417-A9F0-6E81A1F0A0F5	/Datasets/tcga/TCGA-LIHC/5b8d04b2-ef40-4216-a3bb-42520efbe863/analysis/f3a30c24-f461-4c44-8c8b-b9e92c55e900/data/UNCID_2167716.28e2f8ef-14bf-4965-82a5-1d2e33a19af3.130619_UNC13-SN749_0277_BC293YACXX_8_CAGATC.tar.gz	Primary Tumor	Liver Hepatocellular Carcinoma
943ADD02-8431-415B-AAA5-4E4528FA4297	/Datasets/tcga/TCGA-CHOL/b16e9c3f-c7df-46c2-bee3-ecaebbab025f/analysis/ac2e6f9e-9de2-4a37-9f12-16624af7539c/data/UNCID_2637216.11aba6d6-271d-4d59-a2be-8cbd88a48d40.140703_UNC15-SN850_0374_AC4UEAACXX_2_ATCACG.tar.gz	Primary Tumor	Cholangiocarcinoma
17E315D3-C2DE-42FF-8037-1CDF7CBD6DDA	/Datasets/tcga/TCGA-COAD/f2ef5afa-6191-43a1-a023-d53c0d985139/analysis/827b7676-d89f-46fd-b6b8-05b4565f4642/data/UNCID_2217739.1af1b06f-81ef-48ab-bb79-6efec1fda91f.100708_UNC8-RDR3001640_0010_62333AAXX_7.tar.gz	Primary Tumor	Colon Adenocarcinoma
72705AB4-85D0-4EF7-B7DE-B302FBC10D32	/Datasets/tcga/TCGA-DLBC/a468e725-ad4b-411d-ac5c-2eacc68ec580/analysis/aaf8e090-989e-4cd1-b132-b5a407bf4571/data/UNCID_2272271.8c3c10a3-0fb4-4307-88ab-c8a99d0102cf.130814_UNC10-SN254_0487_AC2BD1ACXX_4_CAGATC.tar.gz	Primary Tumor	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
A52CC981-4203-4027-B978-383BFBEB5F75	/Datasets/tcga/TCGA-BRCA/2c6adb12-380d-4710-a7e6-93d5a0e53289/analysis/beca0310-95a0-4c13-a956-c34cb596d835/data/UNCID_2209569.c1190b96-b6cf-4cd5-8c4e-bc57d964a557.110510_UNC15-SN850_0069_BC015CABXX_2.tar.gz	Primary Tumor	Breast Invasive Carcinoma
64BA791A-C418-4507-BF64-B4B473C78834	/Datasets/tcga/TCGA-BRCA/92529232-8504-4541-b7e2-4df8f497c413/analysis/bf92461b-6c4e-43ff-bc78-0b480e722037/data/UNCID_2206747.3049e9ab-8e65-4264-865a-b7a14e27aae1.110909_UNC10-SN254_0276_BB0A28ABXX_3_CTTGTA.tar.gz	Primary Tumor	Breast Invasive Carcinoma
D526808B-7BB7-4E14-B5E2-91605BCEA3AC	/Datasets/tcga/TCGA-BRCA/82ec33dd-e783-4c74-9a87-797a699e11df/analysis/9f35c6d2-5ae6-4331-9590-f8d60f723aef/data/UNCID_2207024.554df3b0-e305-4dab-a268-47ad7c1dcffc.110805_UNC11-SN627_0134_AC042TABXX_5.tar.gz	Primary Tumor	Breast Invasive Carcinoma
452792E7-BF1C-4396-99A5-BE03BED55754	/Datasets/tcga/TCGA-KIRC/61c75ffb-9d5d-478e-af48-1808e700aceb/analysis/0eb30656-ad1c-4656-aefd-6183b9263ff4/data/UNCID_2209899.759ef11a-b0fa-431e-93f9-250bc7f33045.110418_UNC15-SN850_0062_AB07THABXX_7.tar.gz	Primary Tumor	Kidney Renal Clear Cell Carcinoma
F7B2E263-F0AE-440E-96C5-139233079A06	/Datasets/tcga/TCGA-PAAD/6c0ea771-ea86-4db6-994a-2372b2b8f536/analysis/3ebfaadc-6ecc-4ad3-86c1-5861ef822d98/data/UNCID_2328645.2e691339-21b8-452d-a399-41247febd91f.131008_UNC11-SN627_0326_AC2KLPACXX_2_CAGATC.tar.gz	Primary Tumor	Pancreatic Adenocarcinoma
D365A238-4739-4B54-9608-DC548F21C04E	/Datasets/tcga/TCGA-CESC/de3cfb81-25c3-4137-8f24-ad8aa607c158/analysis/ade3f8e2-fd0f-4bc5-a600-e10e6f907136/data/UNCID_2553109.f11b075c-7ada-4945-b3a2-2eee097c077d.140408_UNC11-SN627_0351_AC3KY3ACXX_1_ATGTCA.tar.gz	Primary Tumor	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma
98C8F873-7132-4781-AB24-A7461E1C8D02	/Datasets/tcga/TCGA-COAD/95d4f0c4-5997-4ffb-b876-0ddfeee972bb/analysis/a616bc26-7068-4b89-b490-236f837e3640/data/UNCID_2185581.02425503-99c9-4a4e-841f-5b8b4de64148.121211_UNC16-SN851_0199_BD1KLUACXX_7_ATCACG.tar.gz	Primary Tumor	Colon Adenocarcinoma
DA8ACB55-0731-458D-B391-D8096708CCD4	/Datasets/tcga/TCGA-HNSC/90a8d2cb-1f31-45f9-8575-eed3cb9a7798/analysis/95dd4887-4d06-477f-8092-9a5267c1158c/data/UNCID_2201837.342c8af0-63af-4201-99f6-97986a78d997.111115_UNC15-SN850_0146_AD078TACXX_4_GATCAG.tar.gz	Primary Tumor	Head and Neck Squamous Cell Carcinoma
1169CD48-BF4F-41D8-BA84-1F83044DB74A	/Datasets/tcga/TCGA-KIRC/4fca10bd-988a-47f9-8ed5-037c0d59d70c/analysis/1d9f278e-7360-4acf-be12-0c0ef0a870f2/data/UNCID_2209813.a90575a7-c09f-4d0c-b64d-c7696e923954.110427_UNC15-SN850_0065_BB09BPABXX_3.tar.gz	Primary Tumor	Kidney Renal Clear Cell Carcinoma
CA985B0C-E8F9-4682-ABAF-A0E482F7DF72	/Datasets/tcga/TCGA-LGG/59012b43-ab0b-42c3-aed3-94e224a3dfa7/analysis/74751375-a312-4059-9f60-7a04d7057138/data/UNCID_2318831.e60804b1-edc8-40e6-b9a1-9a02682f30d6.131112_UNC12-SN629_0335_BC34FKACXX_8_ACTTGA.tar.gz	Primary Tumor	Brain Lower Grade Glioma
